Race,Date,WPM,Accuracy,Text,Outcome
6991.,2017-11-16 22:41:24,176.04,99%,3550196,Win (1 of 2)
6990.,2017-11-16 20:18:25,214.08,100%,3621831,Win (1 of 3)
6989.,2017-11-16 20:17:30,160.88,99%,49,Win (1 of 2)
6988.,2017-11-16 20:16:24,191.40,99%,3700025,Win (1 of 3)
6987.,2017-11-16 20:14:57,188.25,99%,3622395,Win (1 of 5)
6986.,2017-11-16 20:13:47,167.64,98%,3620004,Win (1 of 3)
6985.,2017-11-16 20:12:57,148.18,98%,3640765,Win (1 of 5)
6984.,2017-11-16 20:09:00,152.91,99%,3550368,Win (1 of 2)
6983.,2017-11-14 22:51:21,183.37,99%,3810657,No win (1 of 1)
6982.,2017-11-14 22:43:25,177.43,98%,3640916,Win (1 of 2)
6981.,2017-11-14 22:42:44,144.21,98%,3640916,Win (1 of 5)
6980.,2017-11-14 22:41:58,159.51,98%,3620372,Win (1 of 5)
6979.,2017-11-14 22:40:25,158.12,95%,3550221,Win (1 of 4)
6978.,2017-11-14 22:38:04,163.58,98%,3810644,Win (1 of 2)
6977.,2017-11-14 22:00:12,162.63,99%,3621510,Win (1 of 3)
6976.,2017-11-14 21:58:07,187.45,99%,3550012,Win (1 of 3)
6975.,2017-11-14 21:56:00,147.85,97%,3620277,Win (1 of 4)
6974.,2017-11-14 21:31:56,150.58,98%,3620624,Win (1 of 2)
6973.,2017-11-14 21:29:46,179.72,99%,3621405,Win (1 of 4)
6972.,2017-11-14 21:29:14,154.06,99%,3810204,Win (1 of 4)
6971.,2017-11-14 21:28:31,154.69,98%,3810745,Win (1 of 4)
6970.,2017-11-14 21:27:36,149.74,98%,3810582,Win (1 of 3)
6969.,2017-11-14 21:26:58,195.48,99%,359,Win (1 of 4)
6968.,2017-11-14 21:25:25,194.16,99%,3810605,No win (1 of 1)
6967.,2017-11-14 20:05:19,165.31,99%,3640290,Win (1 of 2)
6966.,2017-11-14 20:01:33,135.20,98%,3810191,No win (2 of 2)
6965.,2017-11-08 16:06:29,236.68,100%,3641380,Win (1 of 2)
6964.,2017-11-08 16:04:40,232.48,100%,3641380,Win (1 of 2)
6963.,2017-11-06 20:18:18,173.45,99%,3100062,Win (1 of 4)
6962.,2017-11-06 20:15:29,187.80,99%,3100051,Win (1 of 3)
6961.,2017-11-06 20:14:53,151.76,99%,364,No win (2 of 4)
